rockstarid,mvir,rvir,rs,x,y,z
14419652941,705660000000,181.153,17.586,243.269,329.594,854.569
14419654691,705660000000,181.153,14.744,187.385,414.319,750.422
14419658701,705660000000,181.153,20.515,226.957,324.93,829.792
14419660611,705660000000,181.153,14.194,231.741,432.791,793.152
14419661131,705660000000,181.153,16.655,168.742,319.04,769.535
14419662631,705660000000,181.153,27.044,225.722,372.084,889.29
14419663161,705660000000,181.153,15.876,227.539,435.258,852.533
14419522048,352830000000,143.781,9.427,172.416,402.179,296.628
14419525558,352830000000,143.781,32.984,232.351,442.123,421.457
14419525628,352830000000,143.781,10.142,202.884,416.119,321.216
14419525678,352830000000,143.781,38.261,246.072,384.191,337.856
14419526958,352830000000,143.781,18.853,225.41,342.525,311.486
14419529038,352830000000,143.781,57.973,186.03,434.955,382.469
14419529508,352830000000,143.781,45.225,245.297,397.466,406.827
